日期,过线平均速度,车牌,速度阈值,是否超速,超速百分比
2025-05-15 23:25:54,过线平均速度：9.08km/h,车牌：None,15,否,0
2025-05-15 23:25:56,过线平均速度：6.08km/h,车牌：川J1726W 蓝色,15,否,0
2025-05-15 23:26:06,过线平均速度：15.57km/h,车牌：川DE1113 蓝色,15,是,3.81
2025-05-15 23:32:42,过线平均速度：3.84km/h,车牌：川JG6128 蓝色,5,否,0
2025-05-15 23:32:45,过线平均速度：6.38km/h,车牌：None,1,是,538.24
2025-05-15 23:32:53,过线平均速度：5.12km/h,车牌：川J1726W 蓝色,3,是,70.8
2025-05-15 23:33:11,过线平均速度：10.49km/h,车牌：桂1E1113 蓝色,5,是,109.84
2025-05-16 00:51:01,过线平均速度：6.95km/h,车牌：None,2,是,247.72
2025-05-16 00:51:10,过线平均速度：5.34km/h,车牌：川J1726W 蓝色,2,是,166.91
2025-05-16 00:51:34,过线平均速度：11.93km/h,车牌：赣1E1113 蓝色,1,是,1093.31
2025-05-16 14:22:00,过线平均速度：5.26km/h,车牌：川J1726W 蓝色,15,否,0
2025-05-16 14:22:07,过线平均速度：12.01km/h,车牌：川1E1113 蓝色,15,否,0
2025-05-16 16:30:44,过线平均速度：5.26km/h,车牌：川J1726W 蓝色,15,否,0
2025-05-16 16:42:28,过线平均速度：5.26km/h,车牌：川J1726W 蓝色,15,否,0
2025-05-16 16:42:41,过线平均速度：12.01km/h,车牌：川1E1113 蓝色,15,否,0
2025-05-16 21:09:34,过线平均速度：6.55km/h,车牌：浙BE797U 蓝色,4,是,63.84
2025-05-16 21:09:41,过线平均速度：7.31km/h,车牌：浙BS2H19 蓝色,4,是,82.87
2025-05-21 04:44:06,过线平均速度：5.26km/h,车牌：川J1726W 蓝色,15,否,0
2025-05-22 17:31:56,过线平均速度：1.14km/h,车牌：None,1,是,13.86
2025-05-22 17:32:00,过线平均速度：1.25km/h,车牌：None,1,是,24.91
2025-05-23 21:32:51,过线平均速度：5.52km/h,车牌：川J1726W 蓝色,15,否,0
2025-05-23 21:33:24,过线平均速度：13.02km/h,车牌：桂1E1113 蓝色,2,是,551.14
2025-05-24 14:41:01,过线平均速度：0.83km/h,车牌：None,15,否,0
2025-05-24 14:41:03,过线平均速度：1.22km/h,车牌：None,15,否,0
2025-05-24 15:15:40,过线平均速度：7.81km/h,车牌：None,15,否,0
2025-05-24 15:15:40,过线平均速度：8.32km/h,车牌：None,15,否,0
2025-05-24 15:15:42,过线平均速度：8.68km/h,车牌：None,15,否,0
2025-05-24 15:15:44,过线平均速度：7.24km/h,车牌：None,15,否,0
2025-05-24 15:15:44,过线平均速度：8.08km/h,车牌：None,15,否,0
2025-05-24 15:15:47,过线平均速度：8.51km/h,车牌：None,15,否,0
2025-05-24 15:15:48,过线平均速度：9.46km/h,车牌：None,15,否,0
2025-05-24 15:15:49,过线平均速度：7.97km/h,车牌：None,15,否,0
2025-05-24 15:15:51,过线平均速度：9.63km/h,车牌：None,15,否,0
2025-05-24 15:15:52,过线平均速度：8.03km/h,车牌：None,15,否,0
2025-05-24 15:15:54,过线平均速度：8.51km/h,车牌：None,15,否,0
2025-05-24 15:15:58,过线平均速度：7.76km/h,车牌：None,9,否,0
2025-05-24 15:15:58,过线平均速度：10.35km/h,车牌：None,9,是,15.05
2025-05-24 15:15:59,过线平均速度：8.57km/h,车牌：None,9,否,0
2025-05-24 15:16:03,过线平均速度：9.87km/h,车牌：None,9,是,9.63
2025-05-24 15:16:04,过线平均速度：7.89km/h,车牌：None,9,否,0
2025-05-24 15:16:46,过线平均速度：10.15km/h,车牌：None,9,是,12.74
2025-05-24 15:16:48,过线平均速度：8.08km/h,车牌：None,9,否,0
2025-05-24 15:16:52,过线平均速度：8.28km/h,车牌：None,9,否,0
2025-05-24 15:16:55,过线平均速度：6.86km/h,车牌：None,9,否,0
2025-05-24 15:16:59,过线平均速度：6.88km/h,车牌：None,9,否,0
2025-05-24 15:17:00,过线平均速度：7.47km/h,车牌：None,9,否,0
2025-05-24 15:17:07,过线平均速度：6.3km/h,车牌：None,9,否,0
2025-05-24 15:17:08,过线平均速度：7.69km/h,车牌：None,9,否,0
2025-05-24 15:17:17,过线平均速度：6.1km/h,车牌：None,9,否,0
2025-05-24 15:17:19,过线平均速度：7.22km/h,车牌：None,9,否,0
2025-05-24 15:17:21,过线平均速度：5.11km/h,车牌：None,9,否,0
2025-05-24 15:17:23,过线平均速度：6.04km/h,车牌：None,9,否,0
2025-05-24 15:17:25,过线平均速度：7.86km/h,车牌：None,9,否,0
2025-05-24 15:17:26,过线平均速度：6.33km/h,车牌：None,9,否,0
2025-05-24 15:17:30,过线平均速度：4.88km/h,车牌：None,9,否,0
2025-05-24 15:17:31,过线平均速度：7.98km/h,车牌：None,9,否,0
2025-05-24 15:17:32,过线平均速度：5.28km/h,车牌：None,9,否,0
2025-05-24 15:17:32,过线平均速度：5.89km/h,车牌：None,9,否,0
2025-05-24 15:17:37,过线平均速度：6.83km/h,车牌：None,9,否,0
2025-05-24 15:17:37,过线平均速度：4.4km/h,车牌：None,9,否,0
2025-05-24 15:17:37,过线平均速度：5.87km/h,车牌：None,9,否,0
2025-05-24 15:17:38,过线平均速度：4.7km/h,车牌：None,9,否,0
2025-05-24 15:17:39,过线平均速度：6.5km/h,车牌：None,9,否,0
2025-05-24 15:40:41,过线平均速度：6.19km/h,车牌：None,9,否,0
2025-05-24 15:40:41,过线平均速度：4.44km/h,车牌：None,9,否,0
2025-05-24 15:40:44,过线平均速度：6.42km/h,车牌：None,9,否,0
2025-05-24 15:40:46,过线平均速度：4.35km/h,车牌：None,9,否,0
2025-05-24 15:40:47,过线平均速度：6.17km/h,车牌：None,9,否,0
2025-05-24 15:40:51,过线平均速度：6.13km/h,车牌：None,9,否,0
2025-05-24 15:40:52,过线平均速度：4.94km/h,车牌：None,9,否,0
2025-05-24 15:40:52,过线平均速度：4.67km/h,车牌：None,9,否,0
2025-05-24 15:40:57,过线平均速度：4.85km/h,车牌：None,9,否,0
2025-05-24 15:40:59,过线平均速度：5.52km/h,车牌：None,9,否,0
2025-05-24 15:41:00,过线平均速度：4.93km/h,车牌：None,9,否,0
2025-05-24 15:41:04,过线平均速度：5.24km/h,车牌：None,1,是,423.89
2025-05-24 15:41:06,过线平均速度：3.72km/h,车牌：None,11,否,0
2025-05-24 15:41:07,过线平均速度：4.56km/h,车牌：None,11,否,0
2025-05-24 15:41:08,过线平均速度：5.35km/h,车牌：None,1,是,435.27
2025-05-24 15:41:09,过线平均速度：3.7km/h,车牌：None,1,是,270.43
2025-05-24 15:41:11,过线平均速度：3.37km/h,车牌：None,11,否,0
2025-05-24 15:41:13,过线平均速度：4.25km/h,车牌：None,11,否,0
2025-05-24 15:41:15,过线平均速度：4.05km/h,车牌：None,11,否,0
2025-05-24 15:41:15,过线平均速度：5.06km/h,车牌：None,11,否,0
2025-05-24 15:41:18,过线平均速度：3.65km/h,车牌：None,11,否,0
2025-05-24 15:41:20,过线平均速度：4.28km/h,车牌：None,11,否,0
2025-05-24 15:41:37,过线平均速度：4.51km/h,车牌：川J1726W 蓝色,11,否,0
2025-05-24 15:42:08,过线平均速度：4.92km/h,车牌：川J7B171 蓝色,11,否,0
2025-05-24 15:42:33,过线平均速度：3.31km/h,车牌：豫B00PD1 蓝色,11,否,0
2025-05-24 15:42:46,过线平均速度：2.8km/h,车牌：川U24A53 蓝色,11,否,0
2025-05-24 15:44:16,过线平均速度：1.99km/h,车牌：川1G61Z8 蓝色,11,否,0
2025-05-24 15:44:18,过线平均速度：2.96km/h,车牌：None,11,否,0
2025-05-24 15:44:33,过线平均速度：2.54km/h,车牌：None,11,否,0
2025-05-24 15:44:34,过线平均速度：1.37km/h,车牌：川11726K 蓝色,11,否,0
2025-05-24 16:47:47,过线平均速度：7.46km/h,车牌：苏D7H97 蓝色,11,否,0
2025-05-24 16:47:54,过线平均速度：5.16km/h,车牌：浙C983MP 蓝色,11,否,0
2025-05-24 16:47:57,过线平均速度：4.96km/h,车牌：闽DA6679 黄色,11,否,0
2025-05-24 16:47:58,过线平均速度：7.3km/h,车牌：浙D2Z768 蓝色,11,否,0
2025-05-24 16:48:07,过线平均速度：5.75km/h,车牌：浙D7L117 蓝色,11,否,0
2025-05-24 16:48:08,过线平均速度：6.69km/h,车牌：None,11,否,0
2025-05-24 16:48:09,过线平均速度：5.23km/h,车牌：川A996GQ 蓝色,11,否,0
2025-05-24 16:48:12,过线平均速度：6.8km/h,车牌：赣D0190H 蓝色,11,否,0
2025-05-24 16:48:14,过线平均速度：8.19km/h,车牌：苏D994BK 蓝色,11,否,0
2025-05-24 16:48:15,过线平均速度：6.71km/h,车牌：川D73331 蓝色,11,否,0
2025-05-24 16:48:16,过线平均速度：5.67km/h,车牌：闽DF5S8383 绿色,11,否,0
2025-05-24 16:48:18,过线平均速度：7.22km/h,车牌：浙DC2061 蓝色,11,否,0
2025-05-24 16:48:21,过线平均速度：7.16km/h,车牌：浙D7V917 蓝色,11,否,0
2025-05-24 16:48:22,过线平均速度：5.4km/h,车牌：浙D16320 蓝色,11,否,0
2025-05-24 16:48:25,过线平均速度：7.76km/h,车牌：浙D1K860 蓝色,11,否,0
2025-05-24 16:48:25,过线平均速度：5.25km/h,车牌：None,11,否,0
2025-05-28 17:38:29,过线平均速度：3.75km/h,车牌：浙B7UW52 蓝色,2,是,87.56
2025-05-28 17:54:05,过线平均速度：3.67km/h,车牌：浙B7UW52 蓝色,11,否,0
2025-05-28 18:00:56,过线平均速度：7.33km/h,车牌：None,1,是,633.02
